Date,Oil Price,cpi_all_items,cpi_all_items_minus,cpi_food,cpi_energy,cpi_gas,total_mfg_ind,petrol_grease_mfg,ind_gas_mfg,oil_gas_machine_equip_mfg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,supermarkets_grocery_stores,truck_transp,,,,
01/01/12,113.06,226.67,227.24,232.67,236.94,290.76,191.10,450.40,134.70,234.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.70,128.70,,,,
02/01/12,122.66,227.66,227.87,232.49,242.66,305.08,192.10,447.60,134.90,235.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.20,129.10,,,,
03/01/12,122.88,229.39,228.74,232.79,253.60,329.78,194.30,450.00,134.90,234.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.00,130.50,,,,
04/01/12,123.43,230.09,229.30,233.23,255.74,335.74,194.70,450.40,136.70,234.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.60,130.90,,,,
05/01/12,101.87,229.82,229.60,233.34,250.31,323.60,193.60,449.50,133.80,234.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.60,130.80,,,,
06/01/12,97.80,229.48,229.88,233.56,244.17,303.75,191.70,454.00,135.00,234.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.60,130.00,,,,
07/01/12,98.19,229.10,229.89,233.63,239.97,295.50,191.20,452.60,135.90,235.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.40,130.00,,,,
08/01/12,114.57,230.38,230.20,234.16,250.31,316.86,193.50,448.20,135.40,235.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.10,131.20,,,,
09/01/12,112.39,231.41,230.78,234.30,256.33,329.90,195.40,448.00,138.90,234.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.00,132.10,,,,
10/01/12,108.70,231.32,231.28,234.88,250.52,322.93,195.10,447.50,138.40,235.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.40,132.20,,,,
11/01/12,111.23,230.22,231.26,234.90,238.95,298.13,192.60,446.10,140.90,237.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.00,132.10,,,,
12/01/12,111.11,229.60,231.03,235.39,233.47,285.61,191.80,441.50,140.10,237.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.90,132.20,,,,
01/01/13,115.55,230.28,231.61,236.34,234.62,286.42,192.60,435.60,140.10,239.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.20,131.80,,,,
02/01/13,111.38,232.17,232.43,236.30,248.15,315.24,195.20,434.10,138.70,239.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.10,132.40,,,,
03/01/13,110.02,232.77,233.05,236.33,249.57,319.52,194.50,433.20,139.40,237.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.50,132.90,,,,
04/01/13,102.37,232.53,233.24,236.84,244.76,307.81,194.00,434.10,139.90,238.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.00,132.20,,,,
05/01/13,100.39,232.95,233.46,236.53,247.81,310.35,194.00,435.00,141.00,238.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.90,132.20,,,,
06/01/13,102.16,233.50,233.64,236.79,251.92,312.21,193.90,437.80,141.00,238.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.00,132.80,,,,
07/01/13,107.70,233.60,233.79,237.00,251.37,310.89,194.00,436.60,142.00,239.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.10,132.70,,,,
08/01/13,114.01,233.88,234.26,237.41,250.01,309.36,194.60,428.60,141.60,239.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.00,132.90,,,,
