Date,Oil Price,cpi_all_items,cpi_all_items_minus,cpi_food,cpi_energy,cpi_gas,CUUR0000SAM,CUUR0000SEMC01,CUUR0000SEMD01,CUUR0000SEMF01,CUUR0000SAH1,total_mfg_ind,PCU221122221122,PCU311421311421,petrol_grease_mfg,ind_gas_mfg,PCU325---325,PCU3251803251806,PCU325199325199P,PCU325211325211,PCU325212325212P,PCU325412325412,PCU325510325510,PCU331110331110,PCU331315331315,PCU332322332322,PCU332510332510,PCU332618332618,PCU332911332911,PCU332991332991,oil_gas_machine_equip_mfg,PCU333132333132,PCU333611333611,PCU33441K33441K,PCU335311335311,PCU335313335313,PCU335931335931,PCU336110336110,PCU336412336412,PCU336413336413,PCU441110441110,PCU481111481111,PCU482111482111,supermarkets_grocery_stores,truck_transp,PCU4841214841212,PCU532412532412,PCU621111621111,PCU622110622110
01/01/12,113.06,226.67,227.24,232.67,236.94,290.76,408.06,343.66,248.41,433.58,254.41,191.10,132.40,197.10,450.40,134.70,258.40,339.80,311.70,275.90,284.60,541.00,266.10,196.30,177.40,196.00,177.40,221.50,206.40,242.60,234.10,257.50,207.50,99.50,246.80,197.80,193.40,141.00,207.70,173.20,139.00,280.60,193.40,161.70,128.70,140.70,120.40,143.40,180.40
02/01/12,122.66,227.66,227.87,232.49,242.66,305.08,410.47,343.56,250.56,438.45,254.93,192.10,132.50,197.70,447.60,134.90,259.70,339.80,311.30,279.60,294.00,541.00,267.00,198.20,180.60,195.50,177.40,223.00,207.20,242.70,235.70,257.90,208.30,99.50,247.10,199.20,195.60,140.40,209.10,170.30,139.10,286.30,194.60,164.20,129.10,141.50,119.70,143.50,180.50
03/01/12,122.88,229.39,228.74,232.79,253.60,329.78,411.50,343.87,250.64,439.76,255.61,194.30,132.10,198.40,450.00,134.90,261.70,349.90,315.30,283.40,311.20,540.90,268.90,196.30,183.10,195.60,177.20,223.60,208.90,242.90,234.40,258.40,208.90,99.60,243.50,198.40,195.40,140.30,209.60,170.60,143.00,292.20,194.90,164.00,130.50,143.40,121.10,143.50,180.60
04/01/12,123.43,230.09,229.30,233.23,255.74,335.74,412.48,344.15,251.82,439.78,256.03,194.70,132.00,198.00,450.40,136.70,262.00,358.30,320.60,283.90,321.60,540.30,269.50,196.30,182.00,195.60,177.60,223.20,209.40,243.30,234.80,260.70,209.10,99.60,245.40,199.10,195.20,140.60,209.70,170.80,143.80,293.50,196.40,163.60,130.90,143.90,117.20,143.50,181.10
05/01/12,101.87,229.82,229.60,233.34,250.31,323.60,413.66,345.12,252.48,439.14,256.44,193.60,134.00,198.20,449.50,133.80,262.00,358.30,321.30,283.10,316.90,541.90,270.10,195.20,178.30,196.60,177.90,223.20,209.40,243.30,234.60,261.00,210.80,99.70,244.60,199.10,195.70,139.70,210.00,171.20,143.40,289.20,200.50,165.60,130.80,144.40,117.70,143.40,181.20
06/01/12,97.80,229.48,229.88,233.56,244.17,303.75,415.35,347.41,254.25,439.46,256.95,191.70,136.60,199.00,454.00,135.00,259.60,358.30,322.70,280.30,292.80,541.30,270.40,189.90,177.20,195.90,178.30,224.20,209.60,248.70,234.80,261.40,212.90,99.50,243.20,198.60,195.70,140.10,210.00,171.40,141.30,294.40,200.20,163.60,130.00,142.90,114.30,143.50,181.40
07/01/12,98.19,229.10,229.89,233.63,239.97,295.50,416.76,348.83,254.98,442.12,257.41,191.20,139.20,199.50,452.60,135.90,259.60,356.90,318.50,277.00,277.00,550.30,270.60,186.00,176.40,195.90,177.90,223.80,209.70,249.00,235.30,261.80,213.10,99.50,240.10,199.00,196.30,140.90,210.40,171.40,141.70,289.00,198.70,162.40,130.00,142.10,116.60,143.60,182.20
08/01/12,114.57,230.38,230.20,234.16,250.31,316.86,417.12,349.61,253.38,443.87,257.84,193.50,139.20,201.00,448.20,135.40,260.20,365.50,310.30,277.50,272.20,553.30,270.90,180.70,175.20,195.40,177.90,223.00,209.80,250.50,235.30,261.90,212.20,99.80,240.20,199.10,197.10,140.80,210.60,171.70,140.80,289.70,196.90,162.10,131.20,143.80,119.10,143.60,182.50
09/01/12,112.39,231.41,230.78,234.30,256.33,329.90,418.04,350.87,254.74,443.53,258.25,195.40,139.60,201.30,448.00,138.90,259.90,381.90,308.30,274.00,266.60,552.00,270.70,183.70,178.20,195.40,178.00,223.10,210.40,249.20,234.70,261.90,211.00,100.10,240.40,199.20,197.30,139.60,210.80,172.30,140.40,273.00,197.40,164.00,132.10,144.30,120.20,143.80,182.40
10/01/12,108.70,231.32,231.28,234.88,250.52,322.93,418.36,350.42,255.48,443.61,258.83,195.10,135.90,201.80,447.50,138.40,260.80,383.50,312.00,276.90,265.60,553.90,270.80,179.50,180.00,194.80,178.10,223.10,212.10,249.40,235.90,261.90,212.70,100.10,241.50,199.20,198.00,143.90,211.30,172.30,140.60,279.90,199.90,163.40,132.20,143.90,121.20,143.90,183.50
11/01/12,111.23,230.22,231.26,234.90,238.95,298.13,418.65,350.28,257.54,440.59,259.00,192.60,134.50,201.20,446.10,140.90,259.90,380.60,309.90,276.90,265.10,553.40,271.10,177.40,178.80,194.40,178.00,223.00,212.00,249.40,237.40,262.30,213.60,99.80,240.40,199.30,197.60,144.10,211.40,172.30,140.00,277.70,201.10,165.00,132.10,143.40,123.70,143.40,183.40
12/01/12,111.11,229.60,231.03,235.39,233.47,285.61,418.65,349.91,258.49,437.91,259.30,191.80,135.50,201.70,441.50,140.10,259.30,374.30,304.30,276.30,261.40,553.80,271.30,179.10,179.30,194.10,177.80,222.50,212.70,249.50,237.90,262.30,213.40,99.90,239.90,199.30,198.10,143.60,211.40,172.40,138.90,276.30,201.00,164.90,132.20,143.60,123.20,143.30,184.40
01/01/13,115.55,230.28,231.61,236.34,234.62,286.42,420.69,351.25,260.04,440.58,260.04,192.60,134.60,202.00,435.60,140.10,262.80,375.40,303.80,283.10,261.10,571.60,273.20,179.10,179.20,194.40,177.80,222.40,212.90,250.00,239.10,263.50,213.10,99.90,241.30,201.20,200.10,143.40,213.60,173.00,139.70,282.00,203.30,166.20,131.80,143.30,122.90,144.00,185.80
